metabolite,selection_freq,in_metrs
Kynurenine,1.00,TRUE
Homoarginine,0.87,TRUE
2-Aminoisobutyric acid,0.82,FALSE
n_acetylputrescine,0.79,FALSE
4-Hydroxyhippurate,0.76,TRUE
proline,0.72,FALSE
N-Acetylserine,0.68,TRUE
c18_1_lpe,0.66,FALSE
serine,0.64,FALSE
Malonate,0.57,FALSE
alpha_cehc,0.54,FALSE
x2_hydroxyoctanoate,0.52,FALSE
1-Methylguanosine,0.52,TRUE
suberate,0.51,FALSE
c7_carnitine,0.51,FALSE
13-HODE,0.50,TRUE
Glucuronate,0.50,TRUE
bilirubin,0.48,FALSE
sucrose_lactose_trehalose,0.47,FALSE
c18_2_lpc,0.46,FALSE
Hydroxyproline,0.46,TRUE
tryptophan,0.45,FALSE
lactate,0.43,FALSE
caprate,0.42,FALSE
c18_0_lpc,0.42,FALSE
c48_5_tag,0.41,FALSE
N-Carbamoyl-beta-alanine,0.41,TRUE
c34_3_pc,0.40,TRUE
3-Methyladipate/pimelate,0.40,TRUE
x4_acetamidobutanoate,0.38,FALSE
sorbitol,0.37,FALSE
methylimidazoleacetic_acid,0.37,FALSE
n_acetylleucine,0.37,FALSE
x3_methyladipate,0.36,FALSE
dmgv,0.35,FALSE
lysine,0.35,FALSE
pseudouridine,0.35,FALSE
x3_hydroxymethylglutarate,0.34,FALSE
x5_methylcytosine,0.33,TRUE
C34:2 PC,0.32,FALSE
c36_4_pc_a,0.31,FALSE
homovanillate,0.30,FALSE
n2_n2_dimethylguanosine,0.29,FALSE
adonitol_arabitol,0.28,FALSE
gamma_linolenate,0.27,FALSE
x6_8_dihydroxypurine,0.27,FALSE
arachidate,0.26,FALSE
c18_1_lpc,0.25,FALSE
gaba,0.25,FALSE
leucine,0.24,FALSE
c18_2_lpe,0.23,FALSE
myristoleate,0.22,FALSE
x2_aminobutyrate,0.21,FALSE
c52_0_tag,0.19,FALSE
c54_1_tag,0.17,FALSE
c50_6_tag,0.16,FALSE
c46_4_tag,0.15,FALSE
x2_hydroxyglutarate,0.14,FALSE
