class,year,ebw_mean,ebw_lower,ebw_upper
Class 1,0.25,107,104,110
Class 1,0.5,63,60,66
Class 1,1,53,49,57
Class 1,2,62,58,66
Class 1,3,67,63,71
Class 1,4,70,66,74
Class 1,5,74,70,78
Class 1,6,73,69,77
Class 1,6.5,75,70,80
Class 2,0.25,101,98,104
Class 2,0.5,55,52,58
Class 2,1,41,37,45
Class 2,2,31,27,35
Class 2,3,31,27,35
Class 2,4,31,27,35
Class 2,5,29,25,33
Class 2,6,34,29,39
Class 2,6.5,34,28,40
Class 3,0.25,58,55,61
Class 3,0.5,22,19,25
Class 3,1,14,11,17
Class 3,2,14,11,17
Class 3,3,16,13,19
Class 3,4,20,17,23
Class 3,5,20,17,23
Class 3,6,20,17,23
Class 3,6.5,21,18,24
